Case Number,Date,Year,Sex,Type,Species,Country,Area,Location,Activity,Age,Fatal (Y/N),Time,Month
1990.05.10,1990-05-10,1990.0,F,Unprovoked,Unknown,AUSTRALIA,Queensland,Outer Barrier Reef near Port Douglas,SNORKELING,35.0,N,Unspecified,May
1946.04.19,1946-04-19,1946.0,M,Unprovoked,Unknown,AUSTRALIA,Queensland,"Trinity Beach, Cairns",SWIMMING,17.0,Y,afternoon,Apr
1946.04.00,,1946.0,,Provoked,Unknown,AUSTRALIA,South Australia,Port Newby,FISHING,,N,Unspecified,Apr
1946.03.20,1946-03-20,1946.0,M,Provoked,Unknown,AUSTRALIA,South Australia,Grange,FISHING,28.0,N,night,Mar
1946.02.10.b,1946-02-10,1946.0,M,Unprovoked,WHITE SHARK,AUSTRALIA,Western Australia,"City Beach, Perth",BATHING,18.0,N,afternoon,Feb
1946.01.17,1946-01-17,1946.0,M,Unprovoked,Unknown,AUSTRALIA,Queensland,Townsville,,12.0,N,Unspecified,Jan
1946.01.05,1946-01-05,1946.0,F,Unprovoked,Unknown,AUSTRALIA,New South Wales,"Oatley Bay near Como, George’s River",SWIMMING,14.0,Y,Unspecified,Jan
2003.02.15.b,2003-02-15,2003.0,M,Unprovoked,Unknown,AUSTRALIA,South Australia,"Goolwa Beach, Fleurieu Peninsula",BATHING,37.0,N,night,Feb
1945.06.15,1945-06-15,1945.0,M,Unprovoked,Unknown,AUSTRALIA,Queensland,"Trinity Beach, Cairns",SWIMMING,,Y,afternoon,Jun
1944.11.01,1944-11-01,1944.0,M,Unspecified,Unknown,AUSTRALIA,Queensland,Maroochydore Beach,SWIMMING,,Unknown,Unspecified,Nov
1944.10.23.R,1944-10-23,1944.0,,Provoked,Unknown,AUSTRALIA,Queensland,Tewantin,FISHING,,N,Unspecified,Oct
2003.02.11,2003-02-11,2003.0,M,Unprovoked,NURSE SHARK,AUSTRALIA,New South Wales,"Coogee Bay, near Sydney",SWIMMING,24.0,N,Unspecified,Feb
2003.02.08,2003-02-08,2003.0,M,Unprovoked,BULL SHARK,AUSTRALIA,Queensland,Burleigh Lake on the Gold Coast,SWIMMING,84.0,Y,day-morning,Feb
1944.01.14,1944-01-14,1944.0,M,Unprovoked,Unknown,AUSTRALIA,New South Wales,"First Beach, Forster",SURFING,14.0,N,afternoon,Jan
2010.08.17,2010-08-17,2010.0,M,Unprovoked,WHITE SHARK,AUSTRALIA,Western Australia,Cowaramup Bay,SURFING,31.0,Y,day-morning,Aug
1949.03.00,,1949.0,,Provoked,Unknown,AUSTRALIA,South Australia,18 miles south of Port Augusta,,,Unknown,Unspecified,Mar
2010.08.10.b,2010-08-10,2010.0,F,Provoked,Unknown,AUSTRALIA,Queensland,"Three Mile Creek, Townsville",FISHING,,N,night,Aug
1989.03.04,1989-03-04,1989.0,M,Provoked,TIGER SHARK,AUSTRALIA,Western Australia,Near Broome in Roebuck Bay,ON BOAT,,N,Unspecified,Mar
1953.00.00.c,,1953.0,M,Unprovoked,WOBBEGONG SHARK,AUSTRALIA,Unspecified,,SPEARFISHING,,N,Unspecified,Unk
1952.12.24,1952-12-24,1952.0,M,Unprovoked,Unknown,AUSTRALIA,Victoria,"Portsea Beach, near Melbourne",OTHER,,N,Unspecified,Dec
1952.12.21,1952-12-21,1952.0,M,Unprovoked,Unknown,AUSTRALIA,South Australia,Cape Douglas,OTHER,25.0,N,night,Dec
1989.03.09,1989-03-09,1989.0,M,Unprovoked,WHITE SHARK,AUSTRALIA,South Australia,"Waitpinga Beach, near Victor Harbor, Encounter Bay",SURFING,27.0,Y,night,Mar
1952.05.07.R,1952-05-07,1952.0,M,Unprovoked,CARPET SHARK,AUSTRALIA,Western Australia,Boyup Brook,OTHER,,N,Unspecified,May
2009.10.14.R,2009-10-14,2009.0,M,Unprovoked,BULL SHARK,AUSTRALIA,Western Australia,,DIVING,23.0,N,Unspecified,Oct
1952.04.06,1952-04-06,1952.0,,Provoked,WHITE SHARK,AUSTRALIA,South Australia,Streaky Bay,OTHER,,N,day-morning,Apr
2009.10.28,2009-10-28,2009.0,F,Unprovoked,Unknown,AUSTRALIA,New South Wales,Lennox Heads,OTHER,17.0,N,day-morning,Oct
2009.10.30,2009-10-30,2009.0,M,Provoked,WHITE SHARK,AUSTRALIA,Victoria,Portland,ON BOAT,27.0,N,day-morning,Oct
1952.01.07,1952-01-07,1952.0,M,Unprovoked,Unknown,AUSTRALIA,New South Wales,Evans Head,SURFING,,N,Unspecified,Jan
2009.11.08,2009-11-08,2009.0,M,Unprovoked,Unknown,AUSTRALIA,South Australia,Second Valley,ON BOAT,25.0,N,day-morning,Nov
1951.12.16,1951-12-16,1951.0,M,Provoked,WOBBEGONG SHARK,AUSTRALIA,New South Wales,North Bondi,SPEARFISHING,18.0,N,Unspecified,Dec
1951.12.06,1951-12-06,1951.0,M,Unprovoked,Unknown,AUSTRALIA,New South Wales,"Merewether Beach, Newcastle",FLOATING,21.0,Y,afternoon,Dec
1951.10.22,1951-10-22,1951.0,M,Unprovoked,Unknown,AUSTRALIA,Queensland,"Ocean baths, Kissing Point Beach ",SWIMMING,42.0,Y,night,Oct
1989.08.06.R,1989-08-06,1989.0,M,Provoked,WHITE SHARK,AUSTRALIA,Queensland,Moreton Bay,SHARK RELATED ACTIVITY,41.0,N,Unspecified,Aug
1951.09.02-R,1951-09-02,1951.0,M,Unprovoked,Unknown,AUSTRALIA,Queensland,Fitzroy River near Rockhampton,OTHER,56.0,Y,Unspecified,Sep
1989.08.13,1989-08-13,1989.0,M,Unprovoked,WHALER SHARK,AUSTRALIA,New South Wales,Lennox Head,SURFING,17.0,N,day-morning,Aug
1989.08.29,1989-08-29,1989.0,M,Provoked,NURSE SHARK,AUSTRALIA,Queensland,SeaWorld Theme Park,OTHER,30.0,N,afternoon,Aug
1953.01.08,1953-01-08,1953.0,,Provoked,Unknown,AUSTRALIA,Tasmania,Wynyard,FISHING,,N,afternoon,Jan
1953.01.20,1953-01-20,1953.0,M,Provoked,Unknown,AUSTRALIA,South Australia,Largs Bay,FISHING,61.0,N,Unspecified,Jan
1953.02.00,,1953.0,M,Unprovoked,WOBBEGONG SHARK,AUSTRALIA,Unspecified,,SPEARFISHING,,N,Unspecified,Feb
1953.02.15,1953-02-15,1953.0,M,Unprovoked,WOBBEGONG SHARK,AUSTRALIA,New South Wales,Cave at Shell Harbour,SPEARFISHING,25.0,N,night,Feb
1955.01.17,1955-01-17,1955.0,M,Unprovoked,WHALER SHARK,AUSTRALIA,New South Wales,"Wyargine Point, Edwards Beach, Balmoral Beach, Sydney",OTHER,13.0,Y,afternoon,Jan
1954.12.11,1954-12-11,1954.0,M,Unprovoked,Unknown,AUSTRALIA,Victoria,Point Lonsdale,SWIMMING,23.0,Y,day-morning,Dec
1988.10.22,1988-10-22,1988.0,M,Unprovoked,Unknown,AUSTRALIA,Victoria,Phillip Island,SURFING,38.0,N,Unspecified,Oct
1954.09.04,1954-09-04,1954.0,M,Unprovoked,Unknown,AUSTRALIA,Torres Strait,"Darnley Island, Torres Strait",OTHER,35.0,Y,Unspecified,Sep
1954.06.27,1954-06-27,1954.0,M,Unprovoked,Unknown,AUSTRALIA,Queensland,Fitzroy Island,OTHER,30.0,N,afternoon,Jun
1988.11.07,1988-11-07,1988.0,M,Unprovoked,Unknown,AUSTRALIA,Queensland,"Off North Keppel Island, off Yeppoon",OTHER,62.0,Y,night,Nov
1954.02.27,1954-02-27,1954.0,M,Unprovoked,Unknown,AUSTRALIA,New South Wales,"The Entrance, near Gosford",SWIMMING,23.0,Y,afternoon,Feb
